time,open,high,low,close,Volume,Volume MA
1618048200,60734.58,60803,60731.85,60741.49,200.66998099999978,165.84892385000018
1618048500,60741.49,60798.88,60731.43,60772.73,104.39456900000046,163.5759780000002
1618048800,60772.73,60783.7,60720,60724.66,121.2285549999998,163.51180135000018
1618049100,60724.66,60743.28,60648.79,60679.98,160.42700399999978,165.59000565000017
1618049400,60679.97,60762.38,60660,60750.58,146.23425800000027,166.70290040000017
1618049700,60750.58,60770.01,60681.62,60756.9,124.7669130000001,159.13277345000014
1618050000,60756.9,60878.87,60756.9,60820,188.65869899999953,159.9069866500002
1618050300,60819.99,60997.18,60813.57,60909,269.31610599999925,161.9908685000002
1618050600,60908.99,60910,60655,60687.38,235.13064900000117,165.04851635000028
1618050900,60689.2,60735.18,60589.67,60608.33,185.41810999999961,166.13469310000025
1618051200,60608.33,60650,60548.19,60644.4,188.61730400000104,167.64973905000028
1618051500,60644.4,60644.4,60515.88,60556.09,129.87506800000074,166.8796856000003
1618051800,60556.09,60647.99,60547.74,60640.15,109.22811800000034,163.0574955500003
1618052100,60640.16,60694.44,60582.7,60659.02,98.73488499999998,160.5759656000003
1618052400,60659.02,60706.84,60619.24,60695.01,116.27533999999986,160.08754710000022
1618052700,60695.01,60723.38,60600,60600,151.79767399999983,160.26245585000018
1618053000,60600,60664.04,60541.08,60544.47,189.60405500000016,159.45862275000033
1618053300,60544.47,60627.95,60528.7,60565.63,168.65368499999934,158.96575090000036
1618053600,60565.64,60630,60550,60610.66,97.04794999999979,155.93563435000036
1618053900,60610.65,60659.71,60567.91,60624.89,107.79036300000035,154.69346430000036
1618054200,60624.89,60647,60581.4,60632.45,127.96581499999967,151.05825600000034
1618054500,60632.44,60683.68,60612.31,60682.24,110.83374600000026,151.38021485000033
1618054800,60682.25,60709.06,60601.51,60631.94,115.21207799999976,151.07939100000033
1618055100,60632.83,60638.01,60553.46,60582.94,119.0008639999998,149.00808400000034
1618055400,60582.95,60670,60551.04,60564.18,110.36440899999984,147.2145915500003
1618055700,60564.2,60589.6,60500,60575.94,139.10410199999976,147.9314510000003
1618056000,60575.94,60800,60568.24,60614.32,251.40042100000036,151.06853710000033
1618056300,60614.32,60614.32,60458.3,60601,270.16672900000043,151.1110682500004
1618056600,60601.01,60601.01,60517.23,60543.79,121.70444899999985,145.43975825000032
1618056900,60543.79,60597.08,60529.23,60567.99,132.0124530000001,142.76947540000035
1618057200,60567.99,60577.77,60523.01,60539.95,98.28180700000001,138.25270055000027
1618057500,60539.95,60567.53,60520,60556.27,112.26675999999999,137.37228515000024
1618057800,60556.27,60556.28,60221.11,60380.06,531.2079469999978,158.4712766000001
1618058100,60380.05,60384.84,60203.92,60320.48,392.48611899999037,173.15883829999962
1618058400,60320.48,60397.64,60101,60191.39,271.96955500000007,180.94354904999963
1618058700,60191.38,60361.28,60150,60207.61,299.37763399999795,188.32254704999954
1618059000,60207.61,60281.13,59811.74,60007.48,601.720473999998,208.92836799999947
1618059300,60007.48,60138.87,59863.95,60088.62,440.6767959999985,222.52952354999942
1618059600,60088.61,60200,60074.02,60173.31,209.64379299999973,228.15931569999938
1618059900,60173.32,60176.73,59981.06,60040.9,201.3649199999999,232.83804354999938
1618060200,60040.91,60144.47,60040.9,60055.89,196.5401319999997,236.26675939999942
1618060500,60055.89,60199.32,60001,60150.79,237.85174600000073,242.6176593999994
1618060800,60150.79,60234.58,60137.89,60226.48,162.9117349999992,245.00264224999938
1618061100,60226.48,60226.48,60050.35,60086.39,246.3109880000023,251.3681484499995
1618061400,60086.4,60239.51,60068,60233.74,217.3057729999997,256.7152166499995
1618061700,60233.74,60265.75,60124.5,60229.39,182.96233100000063,258.90812809999954
1618062000,60229.39,60233.07,60166.99,60191.4,127.06332199999952,252.69127314999952
1618062300,60191.4,60344.95,60183.34,60344.93,196.30950600000077,248.99841199999952
1618062600,60344.92,60474.11,60312.21,60422.38,202.35972900000013,253.0311759999995
1618062900,60425.41,60490,60355.74,60465.89,200.59027699999967,256.46006719999946
1618063200,60465.88,60466.12,60362.38,60374.63,191.08202299999942,261.10007799999937
1618063500,60374.63,60400,60301.01,60393.7,196.47894100000005,265.3106870499994
1618063800,60393.71,60436.1,60374.25,60408.51,164.16313799999975,246.9584465999995
1618064100,60408.5,60447.3,60350.76,60430.81,184.30140099999932,236.54921069999995
1618064400,60430.82,60447.98,60350.76,60368.85,148.70545499999946,230.38600569999994
